t,H,L
1906.0,1.8498168302345062,5.639898704904934
1907.0,1.849856350242084,5.6402251133315096
1908.0,1.8498959598498645,5.640551494998778
1909.0,1.8499356590109113,5.64087785002918
1910.0,1.8499754476783403,5.64120417854503
1911.0,1.8500153258053207,5.641530480668521
1912.0,1.8500552933450742,5.641856756521721
1913.0,1.850095350250875,5.642183006226571
1914.0,1.85013549647605,5.642509229904895
1915.0,1.8501757319739778,5.642835427678387
1916.0,1.8502160566980899,5.643161599668622
1917.0,1.8502564706018696,5.643487745997052
1918.0,1.8502969736388521,5.643813866785005
1919.0,1.8503375657626249,5.644139962153688
1920.0,1.8503782469268266,5.644466032224185
1921.0,1.850419017085148,5.644792077117458
1922.0,1.8504598761913311,5.6451180969543495
1923.0,1.8505008241991696,5.6454440918555795
1924.0,1.8505418610625084,5.645770061941747
1925.0,1.8505829867352437,5.646096007333329
1926.0,1.8506242011713225,5.646421928150684
1927.0,1.8506655043247433,5.646747824514051
1928.0,1.850706896149555,5.647073696543546
1929.0,1.8507483765998576,5.647399544359168
1930.0,1.8507899456298016,5.647725368080794
1931.0,1.850831603193588,5.648051167828183
1932.0,1.8508733492454688,5.648376943720977
1933.0,1.8509151837397453,5.648702695878696
1934.0,1.85095710663077,5.649028424420743
1935.0,1.850999117872945,5.649354129466404
1936.0,1.8510412174207227,5.649679811134843
1937.0,1.8510834052286051,5.65000546954511
1938.0,1.8511256812511445,5.650331104816136
1939.0,1.8511680454429424,5.6506567170667354
1940.0,1.8512104977586503,5.650982306415606
1941.0,1.8512530381529688,5.6513078729813255
1942.0,1.8512956665806481,5.651633416882359
1943.0,1.8513383829964878,5.651958938237054
1944.0,1.8513811873553363,5.652284437163641
1945.0,1.8514240796120915,5.6526099137802355
1946.0,1.8514670597217,5.652935368204837
1947.0,1.8515101276391572,5.653260800555328
1948.0,1.8515532833195076,5.65358621094948
1949.0,1.851596526717844,5.653911599504946
1950.0,1.851639857789308,5.654236966339266
1951.0,1.850847754476754,5.654561797665925
1952.0,1.850055616862169,5.654885581834962
1953.0,1.8492634435565756,5.655208322004285
1954.0,1.8484712331767061,5.655530021320152
1955.0,1.8476789843449688,5.6558506829172375
1956.0,1.8468866956894154,5.656170309918701
1957.0,1.8460943658437086,5.656488905436245
1958.0,1.8453019934470893,5.6568064725701825
1959.0,1.8445095771443456,5.657123014409503
1960.0,1.8437171155857799,5.657438534031931
1961.0,1.842924607427178,5.657753034503989
1962.0,1.8421320513297772,5.6580665188810615
1963.0,1.8413394459602364,5.658378990207458
1964.0,1.8405467899906036,5.6586904515164695
1965.0,1.8397540820982865,5.659000905830433
1966.0,1.8389613209660218,5.659310356160789
1967.0,1.8381685052818446,5.659618805508146
1968.0,1.8373756337390592,5.6599262568623345
1969.0,1.8365827050362087,5.660232713202468
1970.0,1.8357897178770457,5.660538177497004
1971.0,1.8349966709705032,5.660842652703797
1972.0,1.8342035630306657,5.661146141770162
1973.0,1.8334103927767393,5.661448647632929
1974.0,1.8326171589330242,5.661750173218496
1975.0,1.8318238602288859,5.662050721442895
1976.0,1.8310304953987269,5.662350295211838
1977.0,1.8302370631819584,5.662648897420781
1978.0,1.8294435623229732,5.662946530954972
1979.0,1.8286499915711174,5.663243198689512
1980.0,1.8278563496806632,5.663538903489406
1981.0,1.8270626354107822,5.663833648209617
1982.0,1.826268847525517,5.664127435695122
1983.0,1.8254749847937566,5.664420268780964
1984.0,1.824681045989207,5.6647121502923055
1985.0,1.8238870298903678,5.665003083044479
1986.0,1.8230929352805032,5.665293069843043
1987.0,1.8222987609476178,5.66558211348383
1988.0,1.82150450568443,5.665870216753001
1989.0,1.8207101682883462,5.666157382427095
1990.0,1.8199157475614358,5.66644361327308
1991.0,1.8191212423104057,5.666728912048405
1992.0,1.8183266513465752,5.667013281501045
1993.0,1.8175319734858506,5.667296724369559
1994.0,1.8167372075487012,5.667579243383132
1995.0,1.8159423523601341,5.667860841261628
1996.0,1.8151474067496705,5.6681415207156345
1997.0,1.8143523695513202,5.668421284446518
1998.0,1.813557239603559,5.668700135146466
1999.0,1.8127620157493043,5.668978075498535
2000.0,1.8119666968358905,5.669255108176701
2001.0,1.8111712817150465,5.669531235845905
2002.0,1.8103757692428724,5.669806461162097
2003.0,1.8095801582798152,5.670080786772289
2004.0,1.808784447690647,5.670354215314592
2005.0,1.807988636344441,5.670626749418269
2006.0,1.8071927231145501,5.67089839170378
2007.0,1.806396706878583,5.671169144782821
2008.0,1.805600586518382,5.671439011258376
2009.0,1.804804360920002,5.671707993724756
2010.0,1.8040080289736866,5.671976094767647
2011.0,1.8032115895738476,5.672243316964152
2012.0,1.8024150416190425,5.672509662882833
2013.0,1.801618384011953,5.672775135083759
2014.0,1.8008216156593637,5.673039736118545
2015.0,1.8000247354721406,5.673303468530395
2016.0,1.7992277423652097,5.673566334854145
2017.0,1.7984306352575363,5.673828337616308
2018.0,1.7976334130721043,5.674089479335109
2019.0,1.796836074735895,5.674349762520533
2020.0,1.7960386191798663,5.674609189674364
2021.0,1.7952410453389334,5.674867763290222
2022.0,1.7944433521519472,5.675125485853613
2023.0,1.7936455385616747,5.67538235984196
2024.0,1.7928476035147793,5.675638387724647
2025.0,1.7920495459618,5.675893571963061
2026.0,1.7912513648571324,5.6761479150106275
2027.0,1.7904530591590089,5.676401419312852
2028.0,1.789654627829479,5.676654087307359
2029.0,1.78885606983439,5.676905921423929
2030.0,1.7880573841433687,5.6771569240845405
2031.0,1.7872585697298005,5.677407097703406
2032.0,1.7864596255708118,5.677656444687009
